sweep,run_name,seed,user_id,target,metric,value
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,101,pv,pinball_q50,50.61585998535156
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,101,pv,pinball_q90,36.39448547363281
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,101,pv,r2,0.8104467116491059
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,101,pv,rmse,289.4563293457031
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,101,pv,rmse_maxnorm,0.038287874311208725
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,101,pv,sharpness,253.30101013183594
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,102,pv,coverage,0.9322098569157393
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,102,pv,efe,10.923662185668945
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,102,pv,export_violation_count,639.0
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,102,pv,export_violation_mag,217.77894592285156
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,102,pv,export_violation_rate,0.04063593004769475
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,102,pv,mae,97.30067443847656
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,102,pv,mape,63.941436767578125
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,102,pv,mbe,-30.462594985961914
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,102,pv,nexport_violation_mag,0.02592606499081566
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,102,pv,nmae,0.011583413623628162
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,102,pv,nmbe,-0.003626499403090704
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,102,pv,npinball_q10,0.0020797768093290783
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,102,pv,npinball_q50,0.005791706811814081
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,0,102,pv,npinball_q90,0.00335025946299235
