,dual_read,dual_weather,weather_single,resolution_5min,resolution_30min,resolution_60min,coldstart_coverage,physics_mask_pw00,physics_mask_pw03,physics_noloss_pw03
CVAE,-2.564142918522249,-1.3762822761886166,2.7413182340565228,,9.379720846292628,22.779847083180695,3.665585480280208,-7.656640334186461,-3.9905679079838206,21.734043105325647
KNN,-10.156408258320221,5.635868080647822,16.728739710077374,,25.978256903869056,25.755887430325025,,-5.039373015697491,-5.044611667737618,-0.0023243963344153004
Linear,-8.316607455091079,-7.063101419066886,5.689202852149325,-1.6171128073444234,2.5372923239229115,8.162954288951713,-0.5677325636631821,-0.48708444945146123,190.9612943601726,296.50804685105516
SVR,-49.95203272183307,43.45207615852005,-9.384578852312684,-5.601285589161609,6.843230625419679,3.047707615453093,-7.686171338593313,-0.9151266944340326,171.40508340914656,223.93957786710484
LSTM,-4.601536784396959,13.845228266428064,8.147459795550958,9.544971731300206,2.8354990570756615,48.44310289694928,7.085578178897214,-6.613619197204441,292.87399982352,383.41556233443896
MLP,-8.580881838486889,-0.23930447504394403,3.5260080941809213,-3.9474182742719037,-6.503517000871424,4.532463541667888,4.401213571676077,-8.199146078747555,317.6052313474919,439.2578849238183
GNN,6.625300385734784,-4.207819500942132,8.175683045246398,-1.399486579923039,17.128895993754327,30.32937393202637,-7.605148275682176,-9.335494823514221,340.51839872248763,366.94269053176333
