target,load,load,load,load,load,load,load,load,load,load,load,load,pv,pv,pv,pv,pv,pv,pv,pv,pv,pv,pv,pv
sweep,earne_learned_corr_dual_grid_sweep_coverage_weather,earne_learned_corr_dual_grid_sweep_coverage_weather,earne_learned_corr_dual_grid_sweep_coverage_weather,earne_learned_corr_dual_grid_sweep_coverage_weather,earne_learned_corr_single_grid_sweep_coverage_weather,earne_learned_corr_single_grid_sweep_coverage_weather,earne_learned_corr_single_grid_sweep_coverage_weather,earne_learned_corr_single_grid_sweep_coverage_weather,earne_phys_dual_grid_sweep_weather_only,earne_phys_dual_grid_sweep_weather_only,earne_phys_single_grid_sweep_weather_only,earne_phys_single_grid_sweep_weather_only,earne_learned_corr_dual_grid_sweep_coverage_weather,earne_learned_corr_dual_grid_sweep_coverage_weather,earne_learned_corr_dual_grid_sweep_coverage_weather,earne_learned_corr_dual_grid_sweep_coverage_weather,earne_learned_corr_single_grid_sweep_coverage_weather,earne_learned_corr_single_grid_sweep_coverage_weather,earne_learned_corr_single_grid_sweep_coverage_weather,earne_learned_corr_single_grid_sweep_coverage_weather,earne_phys_dual_grid_sweep_weather_only,earne_phys_dual_grid_sweep_weather_only,earne_phys_single_grid_sweep_weather_only,earne_phys_single_grid_sweep_weather_only
run_name,earne_learned_corr_dual-span=False-wx=False,earne_learned_corr_dual-span=False-wx=True,earne_learned_corr_dual-span=True-wx=False,earne_learned_corr_dual-span=True-wx=True,earne_learned_corr_single-span=False-wx=False,earne_learned_corr_single-span=False-wx=True,earne_learned_corr_single-span=True-wx=False,earne_learned_corr_single-span=True-wx=True,earne_phys_dual-wx=False,earne_phys_dual-wx=True,earne_phys_single-wx=False,earne_phys_single-wx=True,earne_learned_corr_dual-span=False-wx=False,earne_learned_corr_dual-span=False-wx=True,earne_learned_corr_dual-span=True-wx=False,earne_learned_corr_dual-span=True-wx=True,earne_learned_corr_single-span=False-wx=False,earne_learned_corr_single-span=False-wx=True,earne_learned_corr_single-span=True-wx=False,earne_learned_corr_single-span=True-wx=True,earne_phys_dual-wx=False,earne_phys_dual-wx=True,earne_phys_single-wx=False,earne_phys_single-wx=True
metric,,,,,,,,,,,,,,,,,,,,,,,,
RMSE,710.6507161458334,703.7837524414062,741.3258260091146,719.3555501302084,733.7725016276041,717.5269978841146,723.2166544596354,752.4002888997396,1031.335917154948,994.11376953125,1405.9527587890625,1392.7982991536458,430.6619364420573,434.54648844401044,411.61168416341144,425.3809000651042,443.9385274251302,433.44189453125,433.7810872395833,439.48486328125,1369.939717610677,2076.8981119791665,916.2213338216146,754.1374104817709
MAE,281.2450459798177,278.5484313964844,282.102783203125,276.7257486979167,302.6464436848958,285.84423828125,280.4501241048177,289.13446044921875,421.4795735677083,412.22511800130206,628.423095703125,620.9642944335938,122.10851542154948,122.05248006184895,115.60643259684245,115.90531667073567,128.58469899495444,128.0672175089518,125.11278279622395,122.61741129557292,268.08606974283856,333.0845438639323,160.4920654296875,156.37565104166666
R$^2$,0.7960684123814105,0.796502671821716,0.8038999796943745,0.8096238634346008,0.7859473497933395,0.7890665836084806,0.8067085279656431,0.8010563575226547,0.6195932537328894,0.6510875020800357,0.3528477321923298,0.36316916228786716,0.7826537285195707,0.7802826529002512,0.8046492928350624,0.8034312129696003,0.7675683997569157,0.7777587517436689,0.7970457905855849,0.7902385391891152,0.7186804064437732,0.6755559160319559,0.6893031856220225,0.7162364242750385
EFE,5.574659903844197,7.486551443735759,2.660955270131429,7.738913536071777,10.054531892140707,6.7361141840616865,6.571331024169922,5.463614781697591,8.444205125172934,11.23049545288086,42.21928151448568,41.86054484049479,12.963181336720785,15.240741411844889,13.512811978658041,14.216134071350098,14.516480127970377,12.969886779785156,9.444854895273844,12.43340253829956,47.50772666931152,72.8883768717448,9.12492569287618,12.177407582600912
Pinball Q50,140.62252298990884,139.2742156982422,141.0513916015625,138.36287434895834,151.3232218424479,142.922119140625,140.22506205240884,144.56723022460938,210.73978678385416,206.11255900065103,314.2115478515625,310.4821472167969,61.05425771077474,61.02624003092448,57.803216298421226,57.952658335367836,64.29234949747722,64.0336087544759,62.55639139811198,61.30870564778646,134.04303487141928,166.54227193196616,80.24603271484375,78.18782552083333
Coverage,0.8095947382814218,0.7962714353740324,0.8045751519564076,0.7848862974401434,0.7837408134111289,0.8032858011623437,0.7917091032417939,0.7945815745110739,0.8249924954828579,0.8108814776971522,0.8222396365504622,0.8342796962402369,0.8563913606382755,0.8721493605962031,0.8624818110574353,0.8525483056092485,0.8513866657487249,0.8247646818088806,0.8834795485743885,0.8372622135810085,0.8852079472836535,0.8746355979656987,0.8474497630304395,0.833704951249502
Sharpness,873.8568725585938,831.4323933919271,874.8441162109375,792.9364420572916,868.767333984375,895.9966430664062,837.2324625651041,872.5826822916666,937.52490234375,869.0006510416666,1137.7642008463542,1128.2143147786458,349.56969197591144,375.963623046875,371.1522725423177,347.82102457682294,424.31170654296875,387.14666748046875,386.04925537109375,399.7854512532552,434.3941955566406,499.27503458658856,343.2616475423177,333.51898193359375
Net RMSE,714.5960286458334,706.463134765625,773.2470906575521,722.8505452473959,704.0072224934896,684.072509765625,721.1491495768229,747.5782267252604,1923.5054931640625,2541.890869140625,1763.0039876302083,1639.8591715494792,,,,,,,,,,,,
