sweep,run_name,seed,model_type,node_encoder_name,dual_read,weather_mode,graph_mode,mask_physics_impossible,physics_weight,require_full_span,resolution,tstr_protocol,synthetic_source,target,metric,value
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,1,baseline_cvae,earne_temporal,True,False,spatial_knn,False,0.0,True,native,,,pv,export_violation_mag,430.1497497558594
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,1,baseline_cvae,earne_temporal,True,False,spatial_knn,False,0.0,True,native,,,pv,export_violation_rate,0.08134105310285014
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,1,baseline_cvae,earne_temporal,True,False,spatial_knn,False,0.0,True,native,,,pv,mae,206.28903198242188
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,1,baseline_cvae,earne_temporal,True,False,spatial_knn,False,0.0,True,native,,,pv,mape,54.85589599609375
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,1,baseline_cvae,earne_temporal,True,False,spatial_knn,False,0.0,True,native,,,pv,mbe,-59.38319396972656
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,1,baseline_cvae,earne_temporal,True,False,spatial_knn,False,0.0,True,native,,,pv,nexport_violation_mag,0.04844028713466885
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,1,baseline_cvae,earne_temporal,True,False,spatial_knn,False,0.0,True,native,,,pv,nmae,0.02323074684486733
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,1,baseline_cvae,earne_temporal,True,False,spatial_knn,False,0.0,True,native,,,pv,nmbe,-0.0066872966182124505
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,1,baseline_cvae,earne_temporal,True,False,spatial_knn,False,0.0,True,native,,,pv,npinball_q10,0.004508730312725445
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,1,baseline_cvae,earne_temporal,True,False,spatial_knn,False,0.0,True,native,,,pv,npinball_q50,0.011615373422433664
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,1,baseline_cvae,earne_temporal,True,False,spatial_knn,False,0.0,True,native,,,pv,npinball_q90,0.008006365664370425
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,1,baseline_cvae,earne_temporal,True,False,spatial_knn,False,0.0,True,native,,,pv,nrmse,0.06495979927681587
baseline_cvae_dual_nomask_grid_sweep_weather_only,baseline_cvae_dual_nomask-wx=False,1,baseline_cvae,earne_temporal,True,False,spatial_knn,False,0.0,True,native,,,pv,nsharpness,0.05660176663785368
